concept_id,code,source,datatype,amrs_id,amrs_datatype
307,307,CIEL,Coded,307,Coded
512,512,CIEL,Coded,10787,Coded
1169,1169,CIEL,Coded,6709,Coded
1282,1282,CIEL,Coded,1895,Coded
5303,5054,AMPATH,Coded,5054,Coded
5002,5002,AMPATH,Coded,5002,Coded
164930,164930,KenyaEMR,Coded,9782,Coded
164932,164932,KenyaEMR,Coded,10792,Coded
164933,164933,KenyaEMR,Coded,9736,Coded
164934,164934,KenyaEMR,Coded,10400,Coded
164935,164935,KenyaEMR,Coded,9609,Coded
164937,164937,KenyaEMR,Coded,1129,Coded
164940,164940,KenyaEMR,Coded,10834,Coded
164941,164941,KenyaEMR,Coded,10833,Coded
164947,164947,KenyaEMR,Coded,10988,Coded
164948,164948,KenyaEMR,Coded,6176,Coded
164949,164949,KenyaEMR,Coded,9742,Coded
164950,164950,KenyaEMR,Coded,164950,Coded
164928,164928,KenyaEMR,Coded,9783,Coded
164929,164929,KenyaEMR,Coded,6578,Coded
164942,164942,KenyaEMR,Coded,10989,Coded
164943,164943,KenyaEMR,Coded,10990,Coded
164945,164945,KenyaEMR,Coded,10992,Coded
164946,164946,KenyaEMR,Coded,10993,Coded
164968,164968,KenyaEMR,N/A,10985,N/A
164969,164969,KenyaEMR,N/A,10268,N/A
164970,164970,KenyaEMR,N/A,164970,N/A
164971,164971,KenyaEMR,N/A,11677,N/A
164975,164975,KenyaEMR,N/A,10848,N/A
164967,164967,KenyaEMR,N/A,9759,N/A
302,302,KenyaEMR,Coded,11676,Coded
6032,6032,KenyaEMR,Coded,6032,Coded